month,day,hora,estacion,cantidadpasos
1,5,12,ALB,473
1,5,12,AVE,5223
1,5,12,DEL,3725
1,5,13,ALB,412
1,5,13,AVE,4433
1,5,13,DEL,3131
1,5,14,ALB,358
1,5,14,AVE,3625
1,5,14,DEL,2737
1,5,15,ALB,315
1,5,15,AVE,3735
1,5,15,DEL,2484
1,5,16,ALB,399
1,5,16,AVE,3858
1,5,16,DEL,2549
1,5,17,ALB,431
1,5,17,AVE,4497
1,5,17,DEL,2947
1,5,18,ALB,534
1,5,18,AVE,5331
1,5,18,DEL,3462
1,5,19,ALB,596
1,5,19,AVE,5901
1,5,19,DEL,2997
1,5,20,ALB,672
1,5,20,AVE,6474
1,5,20,DEL,1711
1,5,21,ALB,724
1,5,21,AVE,6389
1,5,21,DEL,1587
1,5,21,ILL,1
1,5,22,ALB,520
1,5,22,AVE,5734
1,5,22,DEL,3134
1,5,23,ALB,448
1,5,23,AVE,5196
1,5,23,DEL,3279
1,6,0,ALB,333
1,6,0,AVE,3718
1,6,0,DEL,2215
1,6,1,ALB,199
1,6,1,AVE,2053
1,6,1,DEL,1339
1,6,2,ALB,94
1,6,2,AVE,1049
1,6,2,DEL,978
1,6,3,ALB,78
1,6,3,AVE,835
1,6,3,DEL,845
1,6,4,ALB,69
1,6,4,AVE,1074
1,6,4,DEL,1013
1,6,5,ALB,163
1,6,5,AVE,2638
1,6,5,DEL,2054
1,6,6,ALB,418
1,6,6,AVE,5832
1,6,6,DEL,3499
1,6,7,ALB,975
1,6,7,AVE,8000
1,6,7,DEL,4984
1,6,7,ILL,1
1,6,8,ALB,1160
1,6,8,AVE,7980
1,6,8,DEL,6008
1,6,9,ALB,1034
1,6,9,AVE,7427
1,6,9,DEL,5589
1,6,10,ALB,974
1,6,10,AVE,7863
1,6,10,DEL,5285
1,6,10,ILL,3
1,6,11,ALB,873
1,6,11,AVE,8257
1,6,11,DEL,5263
1,6,11,ILL,2
1,6,12,ALB,862
1,6,12,AVE,8141
1,6,12,DEL,4895
1,6,13,ALB,856
1,6,13,AVE,8572
1,6,13,DEL,4957
1,6,13,ILL,1
1,6,14,ALB,829
1,6,14,AVE,8488
1,6,14,DEL,5035
1,6,15,ALB,848
1,6,15,AVE,8553
1,6,15,DEL,4873
1,6,16,ALB,832
1,6,16,AVE,9069
1,6,16,DEL,4695
1,6,17,ALB,922
1,6,17,AVE,9428
1,6,17,DEL,4933
1,6,17,ILL,2
1,6,18,ALB,968
1,6,18,AVE,9245
1,6,18,DEL,4794
1,6,19,ALB,677
1,6,19,AVE,7279
1,6,19,DEL,4341
1,6,20,ALB,576
1,6,20,AVE,6224
1,6,20,DEL,3690
1,6,21,ALB,421
1,6,21,AVE,4662
1,6,21,DEL,2869
1,6,22,ALB,261
1,6,22,AVE,3134
1,6,22,DEL,2193
1,6,23,ALB,178
1,6,23,AVE,2453
1,6,23,DEL,1555
1,7,0,ALB,146
1,7,0,AVE,2043
1,7,0,DEL,1152
1,7,1,ALB,95
1,7,1,AVE,1254
1,7,1,DEL,844
1,7,1,ILL,3
1,7,2,ALB,53
1,7,2,AVE,745
1,7,2,DEL,605
1,7,2,ILL,3
1,7,3,ALB,42
1,7,3,AVE,641
1,7,3,DEL,602
1,7,3,ILL,69
1,7,4,ALB,45
1,7,4,AVE,941
1,7,4,DEL,859
1,7,4,ILL,213
1,7,5,ALB,146
1,7,5,AVE,2451
1,7,5,DEL,1906
1,7,5,ILL,768
1,7,6,ALB,397
1,7,6,AVE,5611
1,7,6,DEL,3477
1,7,6,ILL,2289
1,7,7,ALB,919
1,7,7,AVE,7543
1,7,7,DEL,4966
1,7,7,ILL,4795
1,7,8,ALB,1143
1,7,8,AVE,7569
1,7,8,DEL,5679
1,7,8,ILL,5528
1,7,9,ALB,1038
1,7,9,AVE,7053
1,7,9,DEL,5226
1,7,9,ILL,4975
1,7,10,ALB,791
1,7,10,AVE,6020
1,7,10,DEL,4508
1,7,10,ILL,4100
1,7,11,ALB,808
1,7,11,AVE,7790
1,7,11,DEL,5176
1,7,11,ILL,3907
1,7,12,ALB,754
1,7,12,AVE,8272
1,7,12,DEL,4765
1,7,12,ILL,3687
1,7,13,ALB,782
1,7,13,AVE,7958
1,7,13,DEL,4769
1,7,13,ILL,3575
1,7,14,ALB,669
1,7,14,AVE,6236
1,7,14,DEL,3886
1,7,14,ILL,2766
1,7,15,ALB,713
1,7,15,AVE,7070
1,7,15,DEL,4400
1,7,15,ILL,3566
1,7,16,ALB,796
1,7,16,AVE,8595
1,7,16,DEL,4724
1,7,16,ILL,3847
1,7,17,ALB,837
1,7,17,AVE,8781
1,7,17,DEL,4629
1,7,17,ILL,4185
1,7,18,ALB,988
1,7,18,AVE,8176
1,7,18,DEL,4406
1,7,18,ILL,4337
1,7,19,ALB,607
1,7,19,AVE,6274
1,7,19,DEL,3787
1,7,19,ILL,3118
1,7,20,ALB,554
1,7,20,AVE,5854
1,7,20,DEL,3201
1,7,20,ILL,2276
1,7,21,ALB,424
1,7,21,AVE,4579
1,7,21,DEL,2874
1,7,21,ILL,1637
1,7,22,ALB,240
1,7,22,AVE,2938
1,7,22,DEL,2003
1,7,22,ILL,1121
1,7,23,ALB,174
1,7,23,AVE,2287
1,7,23,DEL,1465
1,7,23,ILL,822
1,8,0,ALB,131
1,8,0,AVE,1819
1,8,0,DEL,1126
1,8,0,ILL,662
1,8,1,ALB,80
1,8,1,AVE,1058
1,8,1,DEL,824
1,8,1,ILL,453
1,8,2,ALB,43
1,8,2,AVE,711
1,8,2,DEL,622
1,8,2,ILL,280
1,8,3,ALB,33
1,8,3,AVE,566
1,8,3,DEL,669
1,8,3,ILL,257
1,8,4,ALB,42
1,8,4,AVE,911
1,8,4,DEL,906
1,8,4,ILL,416
1,8,5,ALB,159
1,8,5,AVE,2288
1,8,5,DEL,1775
1,8,5,ILL,957
1,8,6,ALB,430
1,8,6,AVE,5442
1,8,6,DEL,3443
1,8,6,ILL,2433
1,8,7,ALB,883
1,8,7,AVE,7546
1,8,7,DEL,4872
1,8,7,ILL,5087
1,8,8,ALB,1079
1,8,8,AVE,7839
1,8,8,DEL,5925
1,8,8,ILL,5922
1,8,9,ALB,1127
1,8,9,AVE,7623
1,8,9,DEL,5643
1,8,9,ILL,5257
1,8,10,ALB,961
1,8,10,AVE,8392
1,8,10,DEL,5443
1,8,10,ILL,4550
1,8,11,ALB,944
1,8,11,AVE,8298
1,8,11,DEL,5279
1,8,11,ILL,4248
1,8,12,ALB,917
1,8,12,AVE,8108
1,8,12,DEL,5014
1,8,12,ILL,4092
1,8,13,ALB,924
1,8,13,AVE,8319
1,8,13,DEL,5082
1,8,13,ILL,3964
1,8,14,ALB,903
1,8,14,AVE,8484
1,8,14,DEL,5270
1,8,14,ILL,3824
1,8,15,ALB,848
1,8,15,AVE,8804
1,8,15,DEL,5064
1,8,15,ILL,3893
1,8,16,ALB,907
1,8,16,AVE,9259
1,8,16,DEL,5065
1,8,16,ILL,3948
1,8,17,ALB,995
1,8,17,AVE,9258
1,8,17,DEL,5397
